vehicle,serial,plate,current_status,last_seen,current_place,trips,stops,miles,speeding,inefficient_routes,max_speed
RPS 1035617 - DV,866846053686225,1035617,Detenido,2026-09-11 16:17:53,"Carretera Principal Charcas (Tertiary, PR-437), Quebradillas, Puerto Rico, 00678",35,0,0,22,0,72.1
RPS 1038729 - LV,866846053691563,1038729,Detenido,2026-09-11 16:34:19,"Calle Urayoán (Residential), Manati, Puerto Rico, 00674",25,14,0.1,0,0,0
RPS 933-089 11 EO,0470009731,933-089,Detenido,2026-09-11 16:27:49,"Carretera 670 (Tertiary, PR-670), Manati, Puerto Rico, 00693",24,48,186.5,8,1,73.9
RPS 933-090 12 LR,0470009730,933-090,Detenido,2026-09-11 15:20:26,"Residential, Yabucoa, Puerto Rico, 00767",41,102,667.2,10,6,71.1
RPS 933-091 13 ME,0470009728,933-091,Detenido,2026-09-11 15:09:05,"Residential, Manati, Puerto Rico, 00674",52,65,335.7,11,6,73.2
RPS 994-204 20 RR,0470009744,994-204,Detenido,2026-09-11 15:20:57,"Residential, Manati, Puerto Rico, 00674",59,429,535.0,1,24,65.4
RPS 994-209 19 MD,0470009727,994-209,Detenido,2026-09-11 16:31:00,"Residential, Manati, Puerto Rico, 00674",80,297,561.9,0,29,0
RPS 996-332 21 EP,0470009726,996-332,Detenido,2026-09-11 15:43:56,"Residential, Manati, Puerto Rico, 00674",50,286,429.2,0,14,0
RPS IRK-578 17 AM,0470009725,IRK-578,Detenido,2026-09-11 16:33:02,"Residential, Manati, Puerto Rico, 00674",35,119,435.3,0,12,0
RPS-985-742-18 ER,0470009732,985-742,Detenido,2026-09-11 15:40:46,"Residential, Manati, Puerto Rico, 00674",61,338,405.5,0,22,0
